"REF_DATE","GEO","DGUID","Type of computer","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.2","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.6","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.3","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.1","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","100.1","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.8","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.6","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.8","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.5","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.2","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","99.1","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.3","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","98.2","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","97.9","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","97.8","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.9","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.8","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.4","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.5","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.0","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","95.8","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","96.0","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","95.2","","","","1"
"2017-12","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.9","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.5","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","94.0","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.8","","","","1"
"2018-04","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.5","","","","1"
"2018-05","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.6","","","","1"
"2018-06","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.1","","","","1"
"2018-07","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.8","","","","1"
"2018-08","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.6","","","","1"
"2018-09","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.1","","","","1"
"2018-10","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.3","","","","1"
"2018-11","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","92.7","","","","1"
"2018-12","Canada","2016A000011124","Desktop and similar computers, laptop and tablet computers, and servers [E11]","2015=100","324","units ","0","v108788736","1.1","93.0","","","","1"
"2016-01","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","101.3","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","102.9","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","102.4","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","102.5","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","102.0","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","101.6","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","101.4","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.8","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.4","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.9","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","100.9","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","100.8","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","100.4","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.6","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.1","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","99.0","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","98.9","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","97.3","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","97.2","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","97.3","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","96.8","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","97.0","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","96.8","","","","1"
"2017-12","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","96.5","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","96.2","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","96.2","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.8","","","","1"
"2018-04","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.9","","","","1"
"2018-05","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.9","","","","1"
"2018-06","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.6","","","","1"
"2018-07","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.6","","","","1"
"2018-08","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.3","","","","1"
"2018-09","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.4","","","","1"
"2018-10","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.3","","","","1"
"2018-11","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.6","","","","1"
"2018-12","Canada","2016A000011124","Desktop and similar computers [3611111]","2015=100","324","units ","0","v108788737","1.2","95.7","","","","1"
"2016-01","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","101.3","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","101.2","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","100.9","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","101.1","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","101.0","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","99.9","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","98.9","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","98.0","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.8","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.9","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","98.8","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","98.2","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","98.2","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.7","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.1","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.3","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.4","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.0","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.0","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.2","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.0","","","","1"
"2017-10","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","97.3","","","","1"
"2017-11","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.9","","","","1"
"2017-12","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.8","","","","1"
"2018-01","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.4","","","","1"
"2018-02","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.4","","","","1"
"2018-03","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-04","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-05","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-06","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-07","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.3","","","","1"
"2018-08","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.2","","","","1"
"2018-09","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.2","","","","1"
"2018-10","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-11","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2018-12","Canada","2016A000011124","Desktop and similar computers, businesses and governments [36111111]","2015=100","324","units ","0","v108788738","1.3","96.1","","","","1"
"2016-01","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","101.5","","","","1"
"2016-02","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.4","","","","1"
"2016-03","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.3","","","","1"
"2016-04","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.4","","","","1"
"2016-05","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.1","","","","1"
"2016-06","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.9","","","","1"
"2016-07","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.4","","","","1"
"2016-08","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.4","","","","1"
"2016-09","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.6","","","","1"
"2016-10","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.9","","","","1"
"2016-11","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","105.3","","","","1"
"2016-12","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","106.2","","","","1"
"2017-01","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","104.9","","","","1"
"2017-02","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.6","","","","1"
"2017-03","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","103.3","","","","1"
"2017-04","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.2","","","","1"
"2017-05","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","102.0","","","","1"
"2017-06","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.8","","","","1"
"2017-07","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.5","","","","1"
"2017-08","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","97.6","","","","1"
"2017-09","Canada","2016A000011124","Desktop and similar computers, household [36111112]","2015=100","324","units ","0","v108788739","1.4","96.4","","","","1"
