"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","110686","","","","0"
"2016-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","121933","","","","0"
"2016-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","178227","","","","0"
"2016-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","203557","","","","0"
"2016-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","198425","","","","0"
"2016-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","193818","","","","0"
"2016-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","175846","","","","0"
"2016-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","174976","","","","0"
"2016-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","177191","","","","0"
"2016-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","157414","","","","0"
"2016-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","163320","","","","0"
"2016-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","128352","","","","0"
"2017-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","112996","","","","0"
"2017-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","125284","","","","0"
"2017-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","190744","","","","0"
"2017-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","200291","","","","0"
"2017-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","220436","","","","0"
"2017-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","207008","","","","0"
"2017-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","184809","","","","0"
"2017-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","187208","","","","0"
"2017-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","190640","","","","0"
"2017-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","167892","","","","0"
"2017-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","161903","","","","0"
"2017-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","127734","","","","0"
"2018-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","120179","","","","0"
"2018-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","128313","","","","0"
"2018-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","190328","","","","0"
"2018-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","195751","","","","0"
"2018-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","220268","","","","0"
"2018-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","204262","","","","0"
"2018-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","179524","","","","0"
"2018-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","185063","","","","0"
"2018-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","179108","","","","0"
"2018-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","165623","","","","0"
"2018-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","149231","","","","0"
"2018-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units ","0","v42169911","1.1.1.1.1","118182","","","","0"
"2016-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4295419","","","","0"
"2016-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4728596","","","","0"
"2016-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6745037","","","","0"
"2016-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7570371","","","","0"
"2016-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7379863","","","","0"
"2016-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7258509","","","","0"
"2016-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6654406","","","","0"
"2016-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6691685","","","","0"
"2016-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6942118","","","","0"
"2016-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6121957","","","","0"
"2016-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6467708","","","","0"
"2016-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5268834","","","","0"
"2017-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4538110","","","","0"
"2017-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5022160","","","","0"
"2017-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7537573","","","","0"
"2017-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7925441","","","","0"
"2017-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","8590484","","","","0"
"2017-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","8299645","","","","0"
"2017-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7295374","","","","0"
"2017-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7488038","","","","0"
"2017-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7694331","","","","0"
"2017-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6915797","","","","0"
"2017-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6764403","","","","0"
"2017-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5530452","","","","0"
"2018-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4995984","","","","0"
"2018-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5341474","","","","0"
"2018-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7985021","","","","0"
"2018-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","8237828","","","","0"
"2018-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","9238766","","","","0"
"2018-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","8486470","","","","0"
"2018-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7343368","","","","0"
"2018-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7358618","","","","0"
"2018-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7487453","","","","0"
"2018-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7031176","","","","0"
"2018-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6699452","","","","0"
"2018-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5316107","","","","0"


