"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13924","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","15480","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","18431","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","19496","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","20360","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","18802","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","15295","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13058","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","14627","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13239","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","11571","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13811","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","19875","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24897","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28441","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28224","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","29580","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28507","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28183","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24724","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24642","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","21785","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","21253","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28472","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","30245","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","35122","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","38922","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","43597","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","44708","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","40117","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","33829","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","35388","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","37087","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","32807","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","32941","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","37329","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","39989","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","42011","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","42860","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7511","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10188","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8304","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7621","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8254","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7563","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10098","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10607","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10002","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8513","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","12272","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","12812","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10379","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","5321","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7199","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8000","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10452","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8940","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10622","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8868","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","11851","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","9552","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","12193","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","11869","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","6617","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10410","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7857","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10106","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","6718","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","9884","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","13326","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","15424","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7292","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","9110","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","13734","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10536","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8544","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","9205","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","9874","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","11628","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","26","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","4","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","2","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","47","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","0","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","2","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","45","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","7","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","5","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","4","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","4","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","44","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","4","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","31","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","26","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","4","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","29","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","2","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","3","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","3","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","0","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","132","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","183","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","40","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","50","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","51","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","101","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","0","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","44","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","0","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","1","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Exports","Tonnes","288","units ","0","v381848","1.1.7","60","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7484","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10184","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8303","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7620","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8207","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7562","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10097","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10605","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9957","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8506","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","12266","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","12808","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10378","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","5320","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7195","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7956","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10448","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8909","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10596","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8864","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","11822","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9550","","","","0"
"2017-11","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","12190","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","11868","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","6614","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10410","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7725","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9923","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","6678","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9883","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","13275","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","15373","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","7192","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9109","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","13690","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","10535","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","8544","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9203","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","9873","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Domestic disappearance","Tonnes","288","units ","0","v381849","1.1.8","11568","","","","0"


